,USAF,YR--MODAHRMN,TEMP,MAX,MIN,CELSIUS
490,28450,201705071950,2.0,,,-2
491,28450,201705072000,2.0,,,-2
492,28450,201705072020,2.0,,,-2
493,28450,201705072050,2.0,,,-3
494,28450,201705072100,2.0,,,-3
495,28450,201705072120,2.0,,,-3
496,28450,201705072150,2.0,,,-5
497,28450,201705072200,2.0,,,-4
498,28450,201705072220,2.0,,,-5
499,28450,201705072250,2.0,,,-5
500,28450,201705072300,2.0,,,-5
501,28450,201705072320,2.0,,,-6
502,28450,201705072350,2.0,,,-6
503,28450,201705080000,2.0,,,-6
504,28450,201705080020,2.0,,,-6
505,28450,201705080050,2.0,,,-7
506,28450,201705080100,2.0,,,-6
507,28450,201705080120,2.0,,,-7
508,28450,201705080150,2.0,,,-7
509,28450,201705080200,2.0,,,-6
510,28450,201705080220,2.0,,,-7
511,28450,201705080250,2.0,,,-6
512,28450,201705080300,2.0,,,-6
513,28450,201705080320,2.0,,,-6
514,28450,201705080350,2.0,,,-5
515,28450,201705080400,2.0,,,-4
516,28450,201705080420,2.0,,,-5
517,28450,201705080450,2.0,,,-3
518,28450,201705080500,2.0,,,-3
519,28450,201705080520,2.0,,,-3
520,28450,201705080550,2.0,,,-2
521,28450,201705080600,2.0,2.0,2.0,-1
522,28450,201705080620,2.0,,,-2
523,28450,201705080650,2.0,,,-2
524,28450,201705080700,2.0,,,-1
525,28450,201705080720,2.0,,,-1
526,28450,201705080750,2.0,,,-1
527,28450,201705080800,2.0,,,-1
528,28450,201705080820,2.0,,,-1
529,28450,201705080850,2.0,,,-1
530,28450,201705080900,2.0,,,0
531,28450,201705080920,2.0,,,-1
532,28450,201705081000,2.0,,,0
533,28450,201705081020,2.0,,,0
534,28450,201705081050,2.0,,,0
535,28450,201705081100,2.0,,,0
536,28450,201705081120,2.0,,,0
537,28450,201705081150,2.0,,,0
538,28450,201705081200,2.0,,,0
539,28450,201705081220,2.0,,,0
540,28450,201705081250,2.0,,,0
541,28450,201705081300,2.0,,,1
542,28450,201705081320,2.0,,,1
543,28450,201705081350,2.0,,,1
544,28450,201705081400,2.0,,,1
545,28450,201705081420,2.0,,,0
546,28450,201705081450,2.0,,,0
547,28450,201705081500,2.0,,,1
548,28450,201705081520,2.0,,,0
549,28450,201705081550,2.0,,,0
550,28450,201705081600,2.0,,,0
551,28450,201705081620,2.0,,,0
552,28450,201705081650,2.0,,,0
553,28450,201705081700,2.0,,,0
554,28450,201705081720,2.0,,,0
555,28450,201705081750,2.0,,,-1
